iter	MultiClass
0	1.29257826
1	1.211778287
2	1.142045528
3	1.080358163
4	1.025124057
5	0.9752225889
6	0.9298159348
7	0.8872000943
8	0.8491816406
9	0.8138777613
10	0.7807808459
11	0.7517301994
12	0.7245243804
13	0.6985307786
14	0.6747374057
15	0.6520883621
16	0.6308558728
17	0.6112099946
18	0.5920773842
19	0.574299569
20	0.5574857893
21	0.5411753772
22	0.5265168373
23	0.5121398842
24	0.4984295528
25	0.4858900189
26	0.4736406923
27	0.4625208446
28	0.4515949623
29	0.4414527546
30	0.4316717066
31	0.4221879041
32	0.4132089844
33	0.4047390894
34	0.3967110722
35	0.388801219
36	0.3813808257
37	0.3737057516
38	0.3670020205
39	0.3605763066
40	0.3543547279
41	0.3484070245
42	0.3430926724
43	0.3373043508
44	0.3318176522
45	0.3268298424
46	0.322076677
47	0.3174088766
48	0.3133103448
49	0.3088165746
50	0.3048903556
51	0.300696188
52	0.2967736059
53	0.2932991649
54	0.2898520339
55	0.286386281
56	0.2834334591
57	0.2804197367
58	0.2771008385
59	0.2741587251
60	0.2712107355
61	0.2684337958
62	0.2656302701
63	0.2628465787
64	0.2605473464
65	0.258410594
66	0.2561514682
67	0.2535982624
68	0.2513248586
69	0.2495718615
70	0.247427465
71	0.2448642241
72	0.2430934301
73	0.241105233
74	0.239037143
75	0.2373844457
76	0.2357318157
77	0.2340453428
78	0.2321397831
79	0.2306590955
80	0.2288751852
81	0.2271160426
82	0.2255461005
83	0.2241606109
84	0.2224980974
85	0.2212102135
86	0.2197352337
87	0.218568393
88	0.2170409146
89	0.2159250236
90	0.2148131061
91	0.213797498
92	0.2123702519
93	0.2112836241
94	0.2102842302
95	0.2093513605
96	0.2084200397
97	0.2074608365
98	0.2063830145
99	0.2053988416
100	0.204531351
101	0.2036125572
102	0.2027749529
103	0.2018351125
104	0.2007159887
105	0.199840332
106	0.1988555024
107	0.1980489965
108	0.197423424
109	0.1968286806
110	0.1962790612
111	0.1955487776
112	0.1948483466
113	0.1940766265
114	0.1933633486
115	0.1925719289
116	0.1918284954
117	0.19116184
118	0.1903796976
119	0.1897230435
120	0.1891574791
121	0.1881844525
122	0.1875835971
123	0.1870238079
124	0.1864577216
125	0.185807011
126	0.1855300209
127	0.1849214204
128	0.1846122205
129	0.1840285224
130	0.1835272091
131	0.1832063746
132	0.18263783
133	0.1821537244
134	0.1817870925
135	0.1812866884
136	0.1806530678
137	0.1802177061
138	0.1795164669
139	0.1791059402
140	0.1787931708
141	0.1783087284
142	0.1779279701
143	0.1775174266
144	0.1769668642
145	0.1764017039
146	0.1758837554
147	0.1753744949
148	0.174989864
149	0.1747015928
150	0.1742948209
151	0.1738032732
152	0.1733327721
153	0.172643622
154	0.1720757004
155	0.1715820144
156	0.1712932718
157	0.1707623249
158	0.1703895811
159	0.1699396215
160	0.1692977842
161	0.1687765861
162	0.1684132711
163	0.1680028118
164	0.1674357658
