iter	Passed	Remaining
0	5	2754
1	10	2590
2	16	2714
3	22	2728
4	27	2711
5	36	3035
6	44	3101
7	50	3110
8	57	3146
9	63	3125
10	68	3040
11	74	3018
12	79	2993
13	85	2968
14	92	2985
15	96	2932
16	102	2906
17	107	2886
18	113	2867
19	118	2845
20	124	2828
21	129	2814
22	134	2798
23	141	2801
24	146	2792
25	151	2761
26	157	2767
27	167	2831
28	174	2833
29	182	2862
30	190	2875
31	194	2851
32	202	2870
33	207	2844
34	213	2831
35	219	2824
36	224	2809
37	235	2865
38	243	2877
39	251	2889
40	257	2883
41	263	2875
42	267	2847
43	273	2833
44	280	2836
45	285	2819
46	292	2815
47	296	2795
48	301	2775
49	308	2772
50	312	2751
51	317	2738
52	323	2724
53	328	2711
54	333	2699
55	340	2698
56	351	2734
57	359	2738
58	364	2725
59	369	2712
60	375	2699
61	380	2685
62	385	2673
63	391	2669
64	397	2659
65	402	2648
66	408	2639
67	413	2628
68	418	2612
69	424	2608
70	429	2592
71	435	2589
72	441	2579
73	445	2564
74	451	2558
75	457	2550
76	468	2574
77	476	2575
78	481	2566
79	486	2552
80	493	2553
81	497	2538
82	503	2530
83	510	2528
84	516	2522
85	528	2543
86	535	2541
87	540	2532
88	546	2523
89	552	2515
90	558	2509
91	565	2509
92	570	2497
93	576	2490
94	582	2482
95	588	2476
96	594	2469
97	600	2461
98	605	2454
99	611	2447
100	617	2440
101	623	2433
102	629	2427
103	637	2426
104	641	2415
105	648	2409
106	654	2402
107	664	2411
108	670	2406
109	677	2402
110	684	2397
111	690	2390
112	695	2380
113	700	2372
114	706	2364
115	711	2355
116	717	2347
117	722	2338
118	728	2331
119	735	2328
120	740	2318
121	746	2312
122	751	2301
123	763	2314
124	770	2310
125	776	2303
126	780	2291
127	788	2290
128	794	2284
129	800	2278
130	806	2270
131	813	2266
132	820	2264
133	826	2258
134	834	2256
135	839	2245
136	844	2238
137	850	2229
138	857	2227
139	862	2217
140	868	2211
141	873	2201
142	879	2195
143	885	2189
144	890	2179
145	897	2176
146	903	2169
147	908	2160
148	915	2156
149	921	2149
150	926	2141
151	931	2133
152	937	2126
153	941	2116
154	947	2108
155	953	2101
156	959	2096
157	965	2090
158	973	2087
159	979	2080
160	986	2078
161	993	2072
162	999	2066
163	1005	2060
164	1010	2051
165	1017	2048
166	1022	2038
167	1027	2031
168	1034	2026
169	1039	2017
170	1049	2019
171	1056	2015
172	1064	2012
173	1069	2003
174	1074	1996
175	1082	1992
176	1086	1983
177	1094	1979
178	1100	1974
179	1107	1968
180	1113	1962
181	1119	1955
182	1130	1957
183	1137	1953
184	1143	1946
185	1148	1939
186	1154	1931
187	1159	1924
188	1165	1917
189	1170	1910
190	1177	1905
191	1182	1896
192	1188	1889
193	1193	1883
194	1199	1876
195	1205	1868
196	1210	1862
197	1217	1857
198	1221	1848
199	1227	1841
200	1235	1837
201	1239	1829
202	1247	1825
203	1252	1816
204	1257	1809
205	1265	1806
206	1276	1806
207	1281	1799
208	1288	1793
209	1293	1785
210	1299	1780
211	1308	1777
212	1314	1771
213	1319	1762
214	1326	1758
215	1333	1752
216	1340	1748
217	1347	1742
218	1353	1736
219	1360	1731
220	1364	1722
221	1372	1718
222	1378	1712
223	1382	1703
224	1388	1697
225	1394	1690
226	1405	1689
227	1411	1684
228	1418	1678
229	1425	1673
230	1430	1665
231	1435	1658
232	1442	1652
233	1447	1644
234	1452	1638
235	1458	1631
236	1463	1624
237	1469	1617
238	1474	1610
239	1480	1603
240	1485	1596
241	1491	1590
242	1497	1583
243	1502	1576
244	1508	1569
245	1514	1563
246	1519	1556
247	1524	1549
248	1529	1542
249	1534	1534
250	1540	1527
251	1545	1521
252	1550	1514
253	1556	1507
254	1561	1500
255	1567	1494
256	1573	1488
257	1578	1480
258	1584	1474
259	1591	1468
260	1598	1463
261	1605	1458
262	1610	1451
263	1615	1444
264	1621	1438
265	1628	1432
266	1635	1427
267	1643	1422
268	1649	1416
269	1655	1410
270	1661	1403
271	1668	1398
272	1675	1392
273	1682	1387
274	1691	1384
275	1699	1379
276	1707	1374
277	1712	1367
278	1718	1361
279	1724	1354
280	1729	1348
281	1735	1341
282	1741	1334
283	1746	1328
284	1751	1321
285	1757	1315
286	1763	1308
287	1769	1302
288	1774	1295
289	1780	1289
290	1785	1282
291	1791	1275
292	1796	1269
293	1802	1262
294	1808	1256
295	1813	1249
296	1819	1243
297	1824	1236
298	1829	1230
299	1835	1223
300	1841	1217
301	1846	1210
302	1851	1203
303	1856	1197
304	1862	1190
305	1867	1184
306	1873	1177
307	1878	1171
308	1883	1164
309	1888	1157
310	1894	1151
311	1901	1145
312	1908	1140
313	1918	1136
314	1926	1131
315	1932	1125
316	1939	1119
317	1943	1112
318	1949	1106
319	1957	1100
320	1961	1093
321	1970	1089
322	1977	1083
323	1987	1079
324	1992	1072
325	1997	1066
326	2003	1059
327	2008	1053
328	2014	1046
329	2019	1040
330	2025	1033
331	2030	1027
332	2035	1020
333	2040	1014
334	2047	1008
335	2054	1002
336	2058	995
337	2064	989
338	2070	983
339	2077	977
340	2081	970
341	2087	964
342	2093	958
343	2098	951
344	2104	945
345	2109	939
346	2115	932
347	2121	926
348	2129	921
349	2133	914
350	2139	908
351	2145	901
352	2152	896
353	2157	889
354	2163	883
355	2171	878
356	2176	871
357	2182	865
358	2188	859
359	2200	855
360	2206	849
361	2215	844
362	2224	839
363	2229	833
364	2236	827
365	2241	820
366	2248	814
367	2252	808
368	2260	802
369	2268	796
370	2276	791
371	2282	785
372	2287	778
373	2293	772
374	2298	766
375	2303	759
376	2308	753
377	2314	746
378	2319	740
379	2325	734
380	2331	728
381	2336	721
382	2342	715
383	2348	709
384	2354	703
385	2361	697
386	2365	690
387	2373	685
388	2378	678
389	2386	673
390	2391	666
391	2400	661
392	2404	654
393	2412	649
394	2418	642
395	2423	636
396	2428	630
397	2434	624
398	2442	618
399	2448	612
400	2453	605
401	2461	600
402	2467	593
403	2472	587
404	2480	581
405	2486	575
406	2493	569
407	2499	563
408	2505	557
409	2514	551
410	2521	546
411	2531	540
412	2538	534
413	2544	528
414	2549	522
415	2555	515
416	2560	509
417	2565	503
418	2574	497
419	2581	491
420	2588	485
421	2593	479
422	2598	473
423	2603	466
424	2608	460
425	2613	454
426	2619	447
427	2624	441
428	2629	435
429	2634	428
430	2639	422
431	2644	416
432	2649	410
433	2654	403
434	2659	397
435	2664	391
436	2670	385
437	2675	378
438	2681	372
439	2687	366
440	2692	360
441	2697	354
442	2703	347
443	2709	341
444	2715	335
445	2720	329
446	2725	323
447	2730	316
448	2737	310
449	2743	304
450	2747	298
451	2753	292
452	2758	286
453	2764	280
454	2769	273
455	2774	267
456	2781	261
457	2785	255
458	2791	249
459	2796	243
460	2802	237
461	2815	231
462	2827	225
463	2836	220
464	2841	213
465	2852	208
466	2860	202
467	2867	196
468	2874	189
469	2878	183
470	2884	177
471	2891	171
472	2895	165
473	2901	159
474	2907	153
475	2912	146
476	2918	140
477	2923	134
478	2929	128
479	2935	122
480	2941	116
481	2946	110
482	2952	103
483	2957	97
484	2964	91
485	2969	85
486	2974	79
487	2981	73
488	2986	67
489	2993	61
490	2998	54
491	3007	48
492	3012	42
493	3017	36
494	3026	30
495	3033	24
496	3037	18
497	3044	12
498	3049	6
499	3055	0
