iter	MultiClass
0	1.300872327
1	1.22279273
2	1.164451004
3	1.106854547
4	1.058248065
5	1.018112692
6	0.9704061054
7	0.9289559617
8	0.8901864033
9	0.8542194324
10	0.8235231667
11	0.7930353585
12	0.7642761095
13	0.7392387815
14	0.7150443232
15	0.691954207
16	0.6697368664
17	0.6488773881
18	0.6302423626
19	0.6124747431
20	0.59579828
21	0.5799181966
22	0.5633099053
23	0.5492221688
24	0.5348831551
25	0.5219010181
26	0.5092009479
27	0.4972377514
28	0.4858556803
29	0.474126871
30	0.4643859184
31	0.4553963846
32	0.4469505599
33	0.4373252886
34	0.4290808867
35	0.4209327273
36	0.412718775
37	0.4051719615
38	0.3985387042
39	0.3912298801
40	0.3840711972
41	0.3778308622
42	0.3717279243
43	0.3656125143
44	0.3592238394
45	0.3533536915
46	0.3481320252
47	0.3430956053
48	0.3376604858
49	0.3326755175
50	0.3276121144
51	0.3235852214
52	0.3192546479
53	0.315164171
54	0.3113683348
55	0.307436257
56	0.3039142974
57	0.3003901968
58	0.2970772044
59	0.2932264842
60	0.2898425334
61	0.2863830702
62	0.2828253765
63	0.2796990919
64	0.2766139279
65	0.2734341356
66	0.2705065551
67	0.2675858563
68	0.2646128563
69	0.2618866137
70	0.2592618811
71	0.2565950933
72	0.2540865178
73	0.251768983
74	0.2493073733
75	0.2469344277
76	0.2445029448
77	0.2421523266
78	0.2403226993
79	0.2382349299
80	0.2362255275
81	0.2342876273
82	0.2320080526
83	0.2300248348
84	0.2284308691
85	0.2269672317
86	0.2252769215
87	0.2236631262
88	0.2219296224
89	0.2209267393
90	0.2193089678
91	0.2177370237
92	0.2171381077
93	0.2156949457
94	0.2141544877
95	0.2125941491
96	0.2110063515
97	0.209407628
98	0.2078931507
99	0.2064193352
100	0.205133077
101	0.2038955179
102	0.2022915269
103	0.2010496688
104	0.2001912514
105	0.1989313988
106	0.1977136863
107	0.1967533851
108	0.1963195121
109	0.195071316
110	0.1937084071
111	0.1928097188
112	0.1919048114
113	0.1907806057
114	0.1894969643
115	0.188181293
116	0.1872494704
117	0.1862666888
118	0.1852323197
119	0.1843869691
120	0.1838889515
121	0.1830294977
122	0.1823254014
123	0.1812969454
124	0.1802741987
125	0.1795079289
126	0.178930049
127	0.1781954691
128	0.1770923164
129	0.1761895331
130	0.1753231975
131	0.1743001279
132	0.1735721919
133	0.172503567
134	0.171530165
135	0.1707923057
136	0.1699273124
137	0.1693213108
138	0.1685119323
139	0.1677091127
140	0.1670360948
141	0.1662468347
142	0.1656099927
143	0.1648345811
144	0.1642780771
145	0.1636304792
146	0.1627961904
147	0.1621244129
148	0.1614494069
149	0.1608008234
150	0.1602363671
151	0.159673831
152	0.1592916136
153	0.1586377116
154	0.1581144269
155	0.1578380015
156	0.1571369638
157	0.1564144483
158	0.1558265601
159	0.1554555574
160	0.1547743154
161	0.1540956221
162	0.1537073216
163	0.1528746981
164	0.1523757289
165	0.1516012009
166	0.150938582
167	0.1505274953
168	0.149931536
169	0.1491625813
170	0.1487614349
171	0.1483641457
172	0.1478060614
173	0.1470782274
174	0.1467206993
175	0.1461632268
176	0.1457348422
177	0.1454153932
178	0.1448686935
179	0.1445438071
180	0.1438249278
181	0.1433722787
182	0.1428058004
183	0.1425868929
184	0.1420701246
185	0.141369826
186	0.1407862198
187	0.1404063813
188	0.1397395569
189	0.1392464585
190	0.1388133501
191	0.1383233782
192	0.1379747964
193	0.1374020056
194	0.1368586364
195	0.1364438199
196	0.1358580727
197	0.1352984847
198	0.1346786601
199	0.1339249473
200	0.133493946
201	0.1330724007
202	0.1324616923
203	0.1319900887
204	0.131390459
205	0.130902696
206	0.1305226111
207	0.1300769712
208	0.1296938703
209	0.1292239828
210	0.1287169
211	0.1281888745
212	0.1276723611
213	0.1271917008
214	0.1266696395
215	0.1263961962
216	0.1258175516
217	0.1253571032
218	0.1249585056
219	0.1246908991
220	0.1241672915
221	0.1237137928
222	0.1231426502
223	0.1227300597
224	0.1222416085
225	0.1218392897
226	0.1214864854
227	0.120854554
228	0.1202906415
229	0.1199611502
230	0.1195165044
231	0.1189566784
232	0.1185441729
233	0.1181066211
234	0.1177652865
235	0.1174789972
236	0.1171607376
237	0.1167779256
238	0.1161722043
239	0.1160232272
240	0.1154030203
241	0.1149112217
242	0.114362466
243	0.11389274
244	0.1134154271
245	0.1132295434
246	0.1127835892
247	0.1123743801
248	0.1120922029
249	0.111616929
250	0.1111273054
251	0.1107315114
252	0.1102482173
253	0.1098262982
254	0.1094907323
255	0.1091611136
256	0.1089002104
257	0.1085257243
258	0.1082096397
259	0.1078246951
260	0.1073532104
261	0.1070283155
262	0.1068560679
263	0.1064851077
264	0.1060795773
265	0.1056895437
266	0.1054605429
267	0.105016016
268	0.1047046381
269	0.1042549371
270	0.1039641026
271	0.1036705238
272	0.1032757154
273	0.1028812638
274	0.1025566662
275	0.1023311827
276	0.1019373259
277	0.1015263836
278	0.1012266537
279	0.1008465264
280	0.1005164064
281	0.1000911058
282	0.09972163245
283	0.09956730288
284	0.09923301986
285	0.09891203305
286	0.0987305843
287	0.09834658277
288	0.09804573994
289	0.09776055521
290	0.09736489719
291	0.0970576229
292	0.09673901496
293	0.09647864701
294	0.09609680346
295	0.09580941827
296	0.09560103724
297	0.09533671016
298	0.09519516705
299	0.09482395198
300	0.09445707835
301	0.09425855267
302	0.09387551968
303	0.09365156552
304	0.09330903289
305	0.09303596344
306	0.09275497572
307	0.0924774034
308	0.09215852359
309	0.09193977747
310	0.09161335323
311	0.09122742311
312	0.09086491642
313	0.09066312828
314	0.0905041769
315	0.09008734688
316	0.08983099753
317	0.08961031432
318	0.08922994907
319	0.08908902616
320	0.08879048575
321	0.08848845348
322	0.08821377829
323	0.08782850236
324	0.08760082695
325	0.08732159791
326	0.08702837598
327	0.08673507758
328	0.08638697159
329	0.08616680664
330	0.08591318449
331	0.08577327261
332	0.08548410326
333	0.08518924161
334	0.08501781812
335	0.08474621847
336	0.08445041376
337	0.08412807609
338	0.08386704545
339	0.08367348992
340	0.08338095616
341	0.08312425847
342	0.0828711206
343	0.0827052195
344	0.08249248853
345	0.08218472997
346	0.08195446329
347	0.08177008342
348	0.08159094558
349	0.08134270989
350	0.08108350588
351	0.08092640662
352	0.08078386099
353	0.08058044162
354	0.0802916291
355	0.08011236382
356	0.07986407715
357	0.07965794757
358	0.07943450316
359	0.07916995518
360	0.07901806396
361	0.07874954835
362	0.07853838914
363	0.07836914063
364	0.07809815269
365	0.07787686626
366	0.07767102554
367	0.07747747001
368	0.0771774258
369	0.07691632719
370	0.07663988483
371	0.07640573548
372	0.07625916275
373	0.07609597187
374	0.07591866916
375	0.07574216507
376	0.07549189034
377	0.07525556603
378	0.07506113541
379	0.07488376473
380	0.07470280875
381	0.07454243853
382	0.07435433742
383	0.07413817408
384	0.07388905481
385	0.07367548274
386	0.07352766959
387	0.07337638158
388	0.07328782793
389	0.07306762899
390	0.07286821123
391	0.07268741667
392	0.07249991878
393	0.0723183171
394	0.07212686008
395	0.07190087537
396	0.07167783877
397	0.07151904881
398	0.07131879845
399	0.07112606703
400	0.07101668122
401	0.07085479872
402	0.07073427468
403	0.07049269984
404	0.07023778631
405	0.07003858944
406	0.06979884124
407	0.06961499662
408	0.06938991249
409	0.06924244768
410	0.06904373084
411	0.06887989002
412	0.06869365378
413	0.06845489536
414	0.06838931485
415	0.06814581567
416	0.06799433226
417	0.06782641336
418	0.06760768423
419	0.06744916189
420	0.06720141897
421	0.06702977884
422	0.06685248037
423	0.06665347467
424	0.06641776631
425	0.06622390492
426	0.06598173112
427	0.06586186551
428	0.06573826592
429	0.06559823935
430	0.06541666315
431	0.065238719
432	0.06501270456
433	0.06483182504
434	0.06466386791
435	0.06450548576
436	0.06435904046
437	0.06416437196
438	0.06390864281
439	0.06379919753
440	0.06369359244
441	0.06353577102
442	0.06337724019
443	0.06321620304
444	0.06302377748
445	0.06278480241
446	0.06264290672
447	0.06245570193
448	0.06237054668
449	0.06213363613
450	0.06197815961
451	0.06180558916
452	0.06163472216
453	0.06144442484
454	0.06124127309
455	0.0611157874
456	0.06094463578
457	0.06082575996
458	0.0606537375
459	0.06046994386
460	0.06026543275
461	0.06011295106
462	0.05992267498
463	0.05976503198
464	0.05964821219
465	0.05949721305
466	0.0593360612
467	0.05913974872
468	0.05895815979
469	0.05880210554
470	0.05865889721
471	0.05852697581
472	0.05836889526
473	0.05821566592
474	0.05802309168
475	0.05789421608
476	0.05773955092
477	0.05753689195
478	0.05737291094
479	0.05726394568
480	0.05712921635
481	0.05705357235
482	0.05687252291
483	0.05672291711
484	0.05653266227
485	0.05643110127
486	0.0563022724
487	0.05613232296
488	0.05592310508
489	0.05581531652
490	0.05565421565
491	0.05550076967
492	0.05538476549
493	0.05525243203
494	0.05511111831
495	0.05501589531
496	0.05489987839
497	0.05476079486
498	0.05464703362
499	0.05448463712
