iter	Passed	Remaining
0	6	3263
1	12	3149
2	18	3099
3	23	2856
4	31	3098
5	37	3060
6	41	2934
7	47	2936
8	51	2828
9	56	2763
10	63	2839
11	69	2840
12	74	2782
13	80	2789
14	87	2831
15	95	2898
16	102	2903
17	106	2850
18	111	2831
19	116	2807
20	125	2857
21	132	2869
22	138	2874
23	143	2852
24	148	2827
25	155	2840
26	161	2834
27	166	2803
28	172	2795
29	177	2786
30	183	2774
31	188	2750
32	193	2739
33	198	2726
34	205	2727
35	214	2765
36	220	2759
37	226	2755
38	232	2749
39	238	2742
40	243	2725
41	249	2717
42	255	2712
43	261	2706
44	266	2694
45	272	2689
46	277	2679
47	284	2677
48	289	2669
49	294	2651
50	300	2641
51	305	2630
52	310	2620
53	316	2613
54	322	2605
55	327	2595
56	332	2585
57	338	2577
58	343	2567
59	352	2586
60	360	2596
61	368	2603
62	373	2587
63	378	2577
64	384	2570
65	390	2565
66	394	2550
67	400	2541
68	405	2534
69	411	2525
70	416	2518
71	422	2512
72	427	2502
73	433	2494
74	442	2507
75	451	2516
76	457	2513
77	466	2526
78	474	2528
79	479	2515
80	486	2516
81	491	2503
82	496	2493
83	501	2485
84	509	2486
85	515	2480
86	521	2475
87	525	2462
88	533	2462
89	537	2449
90	544	2449
91	549	2436
92	554	2427
93	561	2426
94	566	2414
95	572	2407
96	577	2400
97	582	2391
98	589	2386
99	593	2374
100	599	2369
101	605	2361
102	610	2352
103	615	2345
104	621	2337
105	626	2329
106	632	2322
107	636	2311
108	644	2313
109	652	2312
110	659	2310
111	665	2304
112	670	2296
113	676	2291
114	682	2285
115	687	2275
116	693	2269
117	699	2263
118	704	2255
119	709	2248
120	715	2240
121	725	2247
122	732	2245
123	738	2238
124	746	2238
125	752	2235
126	759	2229
127	766	2228
128	772	2220
129	777	2213
130	782	2204
131	787	2196
132	792	2187
133	798	2180
134	803	2171
135	808	2163
136	813	2155
137	818	2147
138	824	2140
139	829	2133
140	835	2126
141	840	2118
142	845	2111
143	851	2104
144	856	2097
145	862	2090
146	867	2083
147	873	2076
148	878	2068
149	883	2061
150	889	2055
151	894	2046
152	899	2040
153	904	2032
154	911	2028
155	921	2032
156	929	2031
157	935	2024
158	939	2015
159	944	2006
160	950	2000
161	956	1995
162	961	1988
163	966	1980
164	971	1973
165	977	1965
166	983	1960
167	987	1951
168	995	1949
169	1000	1942
170	1006	1937
171	1011	1928
172	1016	1921
173	1022	1915
174	1028	1910
175	1039	1914
176	1045	1907
177	1054	1907
178	1061	1903
179	1066	1896
180	1072	1889
181	1077	1882
182	1082	1875
183	1088	1868
184	1093	1861
185	1098	1854
186	1103	1847
187	1108	1840
188	1114	1833
189	1129	1842
190	1138	1842
191	1145	1837
192	1150	1830
193	1158	1827
194	1164	1820
195	1170	1816
196	1176	1809
197	1181	1802
198	1187	1795
199	1192	1788
200	1197	1781
201	1202	1774
202	1208	1768
203	1215	1764
204	1223	1760
205	1228	1753
206	1233	1745
207	1239	1740
208	1245	1733
209	1249	1725
210	1255	1718
211	1261	1713
212	1265	1705
213	1271	1698
214	1276	1692
215	1283	1687
216	1289	1681
217	1296	1676
218	1303	1672
219	1307	1664
220	1314	1659
221	1319	1652
222	1323	1644
223	1328	1637
224	1335	1632
225	1340	1624
226	1346	1619
227	1350	1611
228	1357	1606
229	1363	1600
230	1368	1593
231	1372	1585
232	1379	1580
233	1383	1572
234	1388	1565
235	1394	1560
236	1398	1552
237	1404	1545
238	1409	1538
239	1414	1532
240	1419	1525
241	1424	1519
242	1430	1512
243	1435	1505
244	1441	1500
245	1447	1494
246	1456	1492
247	1468	1492
248	1475	1487
249	1481	1481
250	1487	1476
251	1495	1471
252	1502	1466
253	1508	1460
254	1515	1455
255	1521	1450
256	1528	1444
257	1534	1439
258	1540	1433
259	1549	1430
260	1556	1425
261	1563	1419
262	1570	1415
263	1578	1411
264	1585	1405
265	1592	1400
266	1599	1396
267	1608	1392
268	1615	1387
269	1622	1381
270	1630	1377
271	1636	1372
272	1643	1366
273	1650	1361
274	1657	1355
275	1663	1349
276	1669	1343
277	1675	1337
278	1682	1332
279	1688	1326
280	1693	1320
281	1699	1313
282	1705	1307
283	1711	1301
284	1718	1296
285	1724	1290
286	1730	1284
287	1736	1278
288	1742	1272
289	1748	1265
290	1753	1259
291	1759	1253
292	1764	1246
293	1770	1240
294	1777	1234
295	1782	1228
296	1788	1222
297	1795	1217
298	1799	1209
299	1805	1203
300	1814	1199
301	1819	1193
302	1829	1189
303	1835	1183
304	1841	1177
305	1847	1171
306	1854	1165
307	1867	1163
308	1873	1158
309	1882	1153
310	1887	1147
311	1892	1140
312	1899	1134
313	1905	1128
314	1911	1122
315	1917	1116
316	1924	1110
317	1929	1104
318	1935	1098
319	1942	1092
320	1948	1086
321	1955	1080
322	1962	1075
323	1969	1069
324	1975	1063
325	1981	1057
326	1988	1051
327	1995	1046
328	2002	1040
329	2009	1035
330	2015	1029
331	2021	1022
332	2027	1016
333	2033	1010
334	2038	1004
335	2044	997
336	2050	991
337	2057	985
338	2063	979
339	2068	973
340	2075	967
341	2081	961
342	2087	955
343	2093	949
344	2098	942
345	2104	936
346	2110	930
347	2116	924
348	2122	918
349	2127	911
350	2132	905
351	2138	899
352	2144	892
353	2151	887
354	2158	881
355	2165	876
356	2171	870
357	2180	864
358	2186	858
359	2197	854
360	2203	848
361	2208	842
362	2214	835
363	2221	829
364	2228	824
365	2234	818
366	2240	811
367	2246	805
368	2252	799
369	2258	793
370	2264	787
371	2272	781
372	2279	776
373	2285	770
374	2293	764
375	2299	758
376	2305	752
377	2312	746
378	2319	740
379	2323	733
380	2330	727
381	2337	721
382	2342	715
383	2348	709
384	2354	703
385	2360	697
386	2365	690
387	2370	684
388	2376	678
389	2382	671
