iter	Passed	Remaining
0	9	4620
1	16	4172
2	21	3623
3	27	3371
4	32	3212
5	38	3165
6	43	3088
7	52	3223
8	59	3241
9	65	3189
10	71	3187
11	75	3079
12	83	3109
13	87	3038
14	93	3012
15	100	3031
16	104	2974
17	110	2955
18	115	2933
19	123	2953
20	129	2955
21	135	2952
22	141	2939
23	147	2931
24	160	3054
25	167	3061
26	172	3026
27	178	3005
28	183	2983
29	188	2960
30	194	2943
31	200	2929
32	205	2914
33	211	2892
34	216	2881
35	222	2861
36	227	2846
37	233	2834
38	239	2834
39	244	2810
40	250	2801
41	256	2798
42	261	2774
43	267	2772
44	275	2780
45	281	2780
46	287	2768
47	291	2748
48	297	2738
49	302	2726
50	309	2726
51	314	2706
52	320	2705
53	325	2687
54	330	2676
55	336	2667
56	343	2666
57	348	2654
58	353	2645
59	359	2635
60	364	2625
61	372	2628
62	380	2641
63	387	2642
64	394	2642
65	401	2639
66	408	2638
67	412	2623
68	418	2615
69	424	2608
70	430	2600
71	436	2592
72	441	2581
73	447	2577
74	454	2576
75	459	2561
76	465	2555
77	470	2548
78	478	2548
79	482	2534
80	490	2535
81	494	2522
82	500	2514
83	506	2506
84	511	2498
85	518	2497
86	526	2501
87	533	2498
88	540	2495
89	544	2481
90	550	2472
91	555	2463
92	560	2453
93	566	2445
94	572	2440
95	578	2432
96	584	2429
97	593	2434
98	599	2429
99	605	2423
100	611	2415
101	616	2406
102	622	2399
103	628	2392
104	633	2384
105	640	2379
106	645	2372
107	651	2364
108	656	2356
109	662	2347
110	667	2340
111	673	2332
112	678	2323
113	684	2316
114	689	2308
115	695	2300
116	700	2293
117	705	2284
118	711	2276
119	716	2268
120	721	2260
121	727	2253
122	732	2246
123	740	2244
124	747	2242
125	754	2240
126	759	2232
127	766	2227
128	772	2221
129	777	2213
130	786	2215
131	793	2211
132	799	2206
133	806	2201
134	811	2193
135	815	2183
136	820	2175
137	828	2172
138	832	2162
139	837	2153
140	842	2146
141	848	2138
142	853	2130
143	860	2126
144	864	2116
145	870	2109
146	875	2102
147	881	2096
148	886	2087
149	891	2080
150	897	2073
151	903	2068
152	909	2061
153	914	2054
154	920	2047
155	925	2041
156	932	2037
157	938	2030
158	944	2025
159	950	2020
160	956	2014
161	960	2004
162	965	1996
163	972	1992
164	977	1983
165	983	1978
166	987	1969
167	994	1964
168	998	1956
169	1004	1950
170	1011	1946
171	1019	1943
172	1023	1935
173	1029	1928
174	1035	1923
175	1040	1915
176	1045	1907
177	1052	1904
178	1059	1900
179	1066	1896
180	1073	1891
181	1078	1884
182	1084	1878
183	1089	1871
184	1094	1863
185	1099	1856
186	1104	1849
187	1110	1842
188	1116	1836
189	1121	1830
190	1127	1824
191	1132	1817
192	1138	1810
193	1143	1803
194	1149	1797
195	1155	1792
196	1159	1784
197	1165	1777
198	1171	1771
199	1176	1764
200	1182	1758
201	1188	1753
202	1193	1745
203	1199	1739
204	1205	1735
205	1210	1727
206	1216	1722
207	1221	1714
208	1226	1707
209	1233	1702
210	1240	1699
211	1247	1694
212	1253	1689
213	1258	1682
214	1264	1676
215	1271	1671
216	1277	1666
217	1284	1661
218	1290	1655
219	1295	1648
220	1300	1641
221	1307	1637
222	1312	1630
223	1320	1626
224	1328	1623
225	1334	1618
226	1339	1611
227	1345	1604
228	1351	1598
229	1356	1592
230	1362	1586
231	1367	1579
232	1373	1573
233	1378	1566
234	1384	1560
235	1391	1556
236	1395	1548
237	1402	1543
238	1407	1537
239	1412	1529
240	1417	1523
241	1423	1517
242	1428	1511
243	1434	1504
244	1439	1498
245	1444	1491
246	1450	1485
247	1455	1479
248	1461	1472
249	1467	1467
250	1472	1460
251	1479	1455
